what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1424409032804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1424409033523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1424409048123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1424409049567
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1424409053083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1424409054887
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1424409096613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1424409100679
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1424409143271
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1424409147045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1424409156644
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409158950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409160838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409160852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409164424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409165682
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424409169846
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409172021
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424409172024
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424409178069
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424409194671
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1424409220986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409227385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1424409228567
